"지점명","위치","발생건수","사망자수","보 기","MOTOCY_CNT","CYCLE_CNT","WALK_CNT","DRK"
"반석교회 앞 삼거리","서울 구로구 도림로20길 40","4","1","","0","0","0","0"
"중흥S클래스삼거리(101동)","서울 도봉구 도봉로180가길 32","5","0","","0","0","0","0"
"서울북부지방법원 삼거리(동쪽)","서울 도봉구 마들로 749","3","1","","0","1","0","0"
"녹천교 서단 사거리","서울 도봉구 창동","7","0","","0","2","0","0"
"창원초교사거리(남동)","서울 도봉구 해등로 103","3","0","","1","0","0","0"
"도봉산역 삼거리(1번출구)","서울 도봉구 도봉로 948","4","0","","0","0","0","1"
"양효안공신도비부묘소 앞 삼거리","서울 도봉구 방학동 63-1","4","0","","1","0","0","0"
"도봉경찰서 사거리(남동)","서울 도봉구 노해로 403","5","0","","1","0","0","0"
"수유교 남단 사거리","서울 도봉구 쌍문동","4","0","","0","0","0","0"
"도봉1치안센터 사거리(북쪽)","서울 도봉구 도봉로169나길 4","5","0","","1","0","0","0"
"쌍문역 1번출구 부근(북쪽)","서울 도봉구 도봉로 지하 486-1","5","0","","1","1","0","0"
"청한빌라 앞(이마트 쌍문동점)","서울 도봉구 해등로 373","3","0","","0","0","0","0"
"경동시장사거리(동의보감타워)","서울 동대문구 고산자로36길 3","21","1","","3","1","0","0"
